name, frequency, lat, lng
seattle, 1299, 47.603570, -122.329450
washington, 444, 38.890370, -77.031960
france, 90, 46.559417, 2.550540
newyork, 90, 56.250000, -5.283330
sanfrancisco, 70, -8.983460, -38.216780
rome, 50, 41.903220, 12.495650
vatican, 46, 41.902250, 12.453300
california, 44, 36.374106, -119.270230
hollywood, 40, 34.101560, -118.337080
king county, 34, 33.616447, -100.255821
tacoma, 34, 47.255130, -122.441640
oregon, 32, 43.938780, -120.558561
united states, 30, 39.398703, -99.414619
vietnam, 24, 16.166670, 107.833330
chicago, 22, 41.884250, -87.632450
losangeles, 20, 34.053570, -118.245450
america, 18, 39.398703, -99.414619
newyork city, 16, 22.640870, 75.848440
olympia, 14, 47.039560, -122.891660
idaho, 14, 44.388995, -114.659447
london, 12, 51.507408, -0.127699
lesbian city, 12, 19.457090, 109.453090
newjersey, 12, 39.613348, -74.728565
pittsburgh, 12, 40.438510, -79.997340
philadelphia, 10, 39.952220, -75.162180
russia, 10, 61.989526, 96.805372
cuba, 10, 22.000000, -79.500000
washingtondc, 10, 38.890370, -77.031960
seattle city, 8, 47.603570, -122.329450
canada, 8, 60.108670, -113.642580
vancouver, 8, 49.260380, -123.113360
lover, 8, 46.248140, 11.024010
rentonhills, 8, -30.966670, 135.083330
renton, 8, 47.475320, -122.204870
rentonhill, 8, -30.966670, 135.083330
sirico, 8, -13.343610, 39.976390
florida, 8, 28.566045, -81.688649
miami, 8, 25.774810, -80.197730
texas, 6, 31.462733, -99.333050
georgia, 6, 32.648325, -83.444534
moscow, 6, 55.756960, 37.615020
wilhelmina, 6, 27.943700, -82.451600
paris, 6, 48.857170, 2.341400
montana, 6, 47.033499, -109.645068
barton, 6, 42.041520, -76.446190
thou, 6, 47.425040, 2.661050
gay city, 6, 51.464860, 58.443540
ellensburg, 6, 46.997030, -120.548720
dade county, 6, 37.429249, -93.853070
dignitys, 6, 51.508980, -0.590220
portland, 6, 45.511790, -122.675630
queen city, 6, 33.148650, -94.152660
alaska, 4, 64.808088, -151.004158
collinss, 4, 8.128982, 2.208592
kansas, 4, 38.484727, -98.380171
nevada, 4, 39.356482, -116.655436
s city, 4, 37.644110, -97.321730
horseshoe, 4, 29.519400, -83.253470
new city, 4, 41.148290, -74.010400
stlouis, 4, 38.627750, -90.199560
stonewall, 4, 50.137650, -97.322410
womens, 4, -27.373730, -55.901370
commu, 4, 46.159040, 6.701220
lesbian, 4, 19.457090, 109.453090
berlin, 4, 52.516040, 13.376910
houston, 4, 29.760780, -95.369520
broadway, 4, 38.615200, -78.798130
missouri, 4, 38.367983, -92.477747
dallas, 4, 32.778220, -96.795120
 city county, 4, 53.703680, -0.870460
bingo, 4, 12.251560, -1.889300
varietyvaudeville, 4, 30.273420, -98.869680
virginia, 4, 37.512821, -78.697949
springfield, 4, 37.208970, -93.291590
northwestfountain, 4, -38.015780, 145.302840
iowa, 4, 42.074698, -93.499972
alan, 4, 54.233330, 101.550000
tina, 4, 45.416670, 7.933330
seattleke county, 4, 38.998551, -105.547816
districtcolumbia, 2, 38.904771, -77.016322
impos, 2, 46.012690, 15.288500
xvi, 2, -34.871570, -57.877050
geography city, 2, 12.313710, 76.620630
witt, 2, 39.256470, -89.347200
marryimportance, 2, 25.597370, 85.169210
passerby, 2, 51.712210, 17.114260
sanjuans, 2, -5.529000, -47.470300
sanfranciscos, 2, -8.983460, -38.216780
tripletshad, 2, 45.763310, 21.225810
sena, 2, -17.450900, 35.032350
signedby county, 2, 38.998551, -105.547816
hongkong, 2, 22.351958, 114.119386
knittel, 2, 42.720310, -92.258290
stairway, 2, -7.629610, 109.569080
teenager, 2, 55.704010, 37.026160
visibility city, 2, 43.691042, -70.277818
garfield county, 2, 36.379069, -97.782715
massachusetts, 2, 42.358670, -71.718185
westyoung, 2, 55.865990, -3.981000
evershifte, 2, 48.253230, 16.441750
alberte, 2, 50.734990, 4.236040
bulldog, 2, -7.798970, 146.465170
egypt, 2, 26.512273, 29.870495
northdeadline, 2, 55.026410, 82.916870
tennessee, 2, 35.843003, -86.343051
great city, 2, 53.219500, -6.661380
layton, 2, 41.065970, -111.961050
kindre, 2, 46.648960, -97.010770
north city, 2, 38.001600, -89.066330
herbert, 2, -12.537870, 131.154680
sanity, 2, 41.429653, -81.391299
evanss, 2, 13.148080, 123.754220
westseattle, 2, 47.571230, -122.385140
namescatatonia, 2, -34.797800, -58.390980
struggle city, 2, -7.417060, 109.245660
strongwille, 2, 34.743334, -92.259137
losangeles county, 2, 34.342770, -118.220935
washington state, 2, 47.411252, -120.556263
pagesand, 2, 53.688520, 9.519170
shadowland, 2, 30.746070, -81.587320
indianapolis, 2, 39.766910, -86.150120
direc, 2, 33.820570, -95.835890
minneapolis, 2, 44.979020, -93.264940
westinitial, 2, 50.291000, 2.771380
vaudeville city, 2, 48.230190, 6.541600
pour city, 2, 18.233330, -73.916670
arlington, 2, 32.735600, -97.107720
frille, 2, 52.338110, 8.992940
hinton, 2, 53.400940, -117.576960
decadelong, 2, 40.753918, -73.971647
queenand, 2, 38.805240, -76.791260
keeper city, 2, -6.316670, 106.650000
alberta, 2, 55.169509, -114.511042
getunited states, 2, 30.695530, -88.174840
bottle, 2, 53.961180, -1.082880
horseshoejake, 2, 35.343120, -82.555570
jake, 2, -0.550940, 98.493760
smistake, 2, 51.300850, 5.573360
noticeperhap city, 2, 51.396581, -1.329743
suggest city, 2, 51.396581, -1.329743
sanjose, 2, 11.703080, -86.118310
calif, 2, 36.374106, -119.270230
callbox, 2, 41.005260, 28.945470
bannere, 2, 48.481440, -1.464220
newyorkphiladelphia, 2, 40.831670, -73.683610
lucas, 2, 22.894060, -109.926280
est city, 2, 18.321700, -64.864060
westcoast, 2, 58.882790, 5.628750
bellevue, 2, 47.610020, -122.187910
enrol city, 2, -6.052500, 106.339440
brooklyn, 2, 40.692450, -73.990360
soak, 2, 40.333610, 124.781390
vienna, 2, 48.202630, 16.368420
sanfran, 2, 43.255600, -2.927810
lakewashington, 2, 38.411160, -82.004430
fremont, 2, 37.551480, -121.983300
meyerde, 2, 47.860010, 7.208700
covenlocatelake city, 2, 51.396581, -1.329743
cambodia, 2, 12.709266, 104.911124
strip, 2, 41.453588, -82.033825
marijuana, 2, 7.762020, 98.770970
northsanfrancisco, 2, 21.200000, -88.466670
baltimore, 2, 39.290580, -76.609260
thatin city, 2, 47.056960, 28.924530
southrenton, 2, 53.325306, 0.108322
portangeles, 2, 48.118720, -123.431300
unsettle county, 2, 38.998551, -105.547816
hillin, 2, 48.513790, -2.668620
ulybastille, 2, 38.811865, -77.051386
neworleans, 2, 29.953700, -90.077750
ulti, 2, 23.410690, 84.892790
erratic, 2, -15.728330, 39.437500
matchbox, 2, 51.526510, -0.078360
time city, 2, 33.873301, -118.081816
orange county, 2, 33.703222, -117.760595
hill, 2, 43.520150, -71.702340
conserva, 2, -2.750000, -44.950000
southcarolina, 2, 33.903863, -80.893752
visitor city, 2, 32.560160, 44.074360
liaison city, 2, 51.750880, -1.261700
italy, 2, 42.833330, 12.833330
barwick, 2, 48.648820, -93.991400
connecticut, 2, 41.573503, -72.738306
illinois, 2, 40.114047, -89.158651
promis, 2, 61.496550, 23.754630
kingtvprepare city, 2, 51.396581, -1.329743
tenczar, 2, 4.667740, -74.062120
elapse, 2, 5.012200, 9.721400
brydon city, 2, 45.683410, -76.616110
momentum city, 2, 47.578190, -122.334700
wathand, 2, 14.447440, 44.081740
detroit, 2, 42.331680, -83.048000
request city, 2, -30.550000, 22.466670
microphone city, 2, 59.938460, 30.360010
dome, 2, 5.650150, -0.221840
funda, 2, -8.842300, 13.547760
stan, 2, 40.613330, 19.713890
oncegay, 2, 47.684530, 0.049880
midoctober, 2, 40.762749, -73.989838
capitolhills, 2, 38.889560, -77.009420
northsouth, 2, 27.963750, -82.411929
glitterin, 2, 61.050000, 15.833330
doorand, 2, 13.991380, 100.615680
districtan, 2, 16.074840, 108.174660
mecca, 2, 21.421110, 39.822220
moneyhad, 2, 53.574660, -7.784770
helenamontana, 2, 32.943720, -90.868570
pittsburghseminary, 2, 40.467290, -79.920960
netherlands, 2, 52.249375, 5.616126
newyorkyear, 2, 54.192930, 37.636780
eastjohnstreet, 2, 53.309210, -1.129330
eastjohn, 2, 38.370960, -76.450298
wisconsin, 2, 44.644833, -89.739185
southend, 2, 51.429356, -0.011172
thousand, 2, 36.869690, 30.722090
guam, 2, 13.443564, 144.777628
oklahoma, 2, 35.582684, -97.508599
tijuana, 2, 32.535070, -117.040970
mexico, 2, 23.952825, -102.548353
picturesroe, 2, 53.260870, -2.131280
monroe, 2, 32.509830, -92.118790
clark county, 2, 34.050931, -93.176369
klux, 2, 34.506790, -81.948430
eastrenton, 2, 52.935777, 1.270737
sixtyone, 2, 21.299522, -157.852584
kidif, 2, -5.466670, 38.950000
bien, 2, 51.250000, 5.466670
ocas, 2, 43.461710, -3.821110
spurle, 2, 54.199460, 20.995550
olympiamonthlater, 2, 45.921060, -74.118890
boardand, 2, -26.106150, 28.176110
kris, 2, 44.371920, 11.341890
timewould, 2, 1.328010, 103.890580
southafrica, 2, -28.997182, 25.085050
chlamydia, 2, 22.058740, 86.079850
lucille, 2, 33.088150, -87.147330
johannas, 2, 48.112780, 11.477980
santamonica, 2, 43.981680, 12.686020
squad, 2, 19.187740, 72.976630
aprc, 2, 38.730350, -9.151440
aprantigay, 2, 47.492720, 5.657390
apr, 2, 32.657564, -85.453460
newpittsburgh, 2, 40.995750, -82.738710
bulletin, 2, -7.789070, 110.405100
julie, 2, 44.691870, 1.196440
warrenking county, 2, 40.705416, -73.933516
olympian, 2, 43.433220, 39.915320
rob, 2, 45.847960, 14.570430
kangas, 2, 64.216670, 27.066670
lewisburg, 2, 35.449110, -86.788800
kentucky, 2, 37.527233, -85.287620
